Time (s),Alpha,Beta
5.249005556106567,-0.6873254365454745,6.742586915759128
5.359047889709473,0.22323178043109398,9.284074405582308
5.413158893585205,1.8488350169902716,9.651926115804722
5.454901218414307,1.5345703273254405,6.927042027209306
5.490424156188965,-0.4158214934436326,1.7151753882340501
5.539424419403076,-1.1875178456131332,-3.8698589156813097
5.576785326004028,0.1449396075844604,-7.96935493264962
5.616724967956543,0.5410618868302799,-10.41520681784021
5.668693542480469,-1.0684069885054903,-11.020243149988673
5.703200817108154,-2.1743201397664524,-8.953435982374307
5.764230251312256,-1.501240145271844,-4.267790106844246
5.803351640701294,0.6459877121152303,2.069979629363184
5.833258152008057,0.42210507129593283,7.346207748377701
5.863543748855591,-0.9780704746761919,10.7433462836198
5.912748575210571,0.3010658346054952,12.858411591457592
5.953168869018555,2.0089894592889417,12.357667256183664
5.985376834869385,1.5001487510264944,8.14397199090656
6.022355318069458,-0.06578641823433169,1.2287026461036925
6.051134347915649,-0.38857627350237445,-6.01717798960452
6.087687015533447,1.0019461304022568,-11.310949891164011
6.1359171867370605,1.101391101678931,-14.021679958159744
6.191279411315918,-0.5076209546333559,-13.600004513932316
6.2288618087768555,-1.8392930003668209,-9.740911564885735
6.274597406387329,-0.392974566962812,-2.7585880603720234
6.320519685745239,1.5738317653262985,4.721494941400991
6.379731893539429,0.8686361653994381,9.706226487554488
6.426279067993164,-0.30316125618861545,11.899319237902683
6.459024429321289,-0.0688875128326827,11.769870493382644
6.5000693798065186,1.4659161167712464,9.668427372533028
6.544066667556763,1.2620871524905288,5.054335313193258
6.5862877368927,-0.6248969333868464,-1.1821638156274563
6.631693124771118,-0.9058442724424217,-6.5250900571296135
6.675782680511475,0.28073092729598836,-9.688586489337212
6.716029644012451,-0.09451718076171609,-10.987778726216892
6.771037578582764,-2.296155356809657,-10.42509973680856
6.804880619049072,-2.451399844636191,-6.961930608918955
6.841089248657227,0.20717673479833956,-1.0950969735880949
6.876777172088623,0.6379034316224345,4.156914201983705
6.930774211883545,-0.8068074711865669,7.7292958090325925
6.959886312484741,-1.3292909848777807,9.679274296669679
7.000367879867554,0.27143118146905904,9.99405337306295
7.050879955291748,0.9356745955437091,7.642563222589813
7.0961525440216064,0.13536009761228546,3.054333731839036
7.133148193359375,-0.15158253034153166,-1.992237070872033
7.164154529571533,0.4368806111050131,-6.041628836418086
7.224050283432007,1.8015986995802917,-7.898121570436217
7.285456657409668,0.6938288190335359,-8.270476597032749
7.331233024597168,-0.7786587393597734,-6.640743190330654
7.376566410064697,0.4976904751709935,-2.641496049495634
7.411404848098755,1.801504910791037,1.6784140587265615
7.45171594619751,1.0718854381078182,4.551878987365504
7.510721445083618,-0.270800785955692,5.636776471371687
7.5581276416778564,-0.9673602249320762,4.90464321485378
7.589091539382935,0.04634440432333231,3.0444416246742096
7.635534048080444,0.4084055699218833,0.13948458722954094
7.662628650665283,-1.367864309222395,-3.173749115722147
7.72373366355896,-2.4066461299141193,-4.834443563624849
7.766729116439819,-0.36421601051543134,-3.541899189942743
7.7993998527526855,0.3526903522931368,-1.2943866781540185
7.837782621383667,-0.2674709265518364,1.0564379107343869
7.8720152378082275,-0.16529733959865348,3.2848459788164184
7.924496412277222,0.2097924802687537,4.560986190892153
7.965877532958984,1.339959332586712,4.961214900865436
8.04355239868164,0.7808088822516736,3.580203552139066
8.0907883644104,-0.7586817344852109,0.7120220003280866
8.12479567527771,-0.8471104818970465,-2.413526236642223
8.158795356750488,0.5580830888817703,-5.0302840959450625
8.179803609848022,0.5481469633019258,-7.274998483332169
8.20080304145813,-0.8005620600203385,-8.219039689474409
8.222174167633057,-1.2213528726819862,-6.444496887353147
8.242181062698364,-0.2828018117934523,-1.9033344291356695
8.2621750831604,0.5241022914155449,3.805816324374326
8.28317642211914,0.8780047223556805,8.811624727942073
8.304176330566406,0.5532284043639751,11.302206589681623
8.324176549911499,1.2918738645585603,11.082218142938844
8.344176054000854,2.0175847444816966,7.908700545101222
8.366178035736084,0.8859936815466594,2.0099238028692588
8.387176752090454,-0.3999462484463798,-4.493440967027954
8.40817904472351,-0.3648965229434342,-9.353526646744264
8.429182767868042,0.8039923336270197,-11.308295346621302
8.451177835464478,0.002953260458144313,-11.130999785779656
8.472187519073486,-1.8532651626974395,-8.966110694307796
8.492234468460083,-2.82965031377287,-5.0005988627626055
8.511717081069946,-0.9971880534689034,0.5934816509519045
8.534709453582764,0.26404632775285847,5.63562766321251
8.555709600448608,-0.7777080008893514,8.655507231684057
8.576709985733032,-0.9971957595692166,10.317134115524144
8.597710609436035,0.35434371065822223,10.647349507315267
8.618712425231934,1.1304268532613722,8.739408154662447
8.639718294143677,-0.13787902177099082,4.190302190804163
8.659195899963379,-1.1846534217113913,-1.4689198537587853
8.67919635772705,-0.30230599470431013,-6.348601367549103
8.698198080062866,1.126717877909724,-9.54865253081792
8.718197107315063,0.580948132422559,-11.027257722671642
8.738225936889648,-1.1080470643467102,-10.193633222619706
8.758201599121094,-0.2638273898259904,-6.028182119400636
8.779197931289673,2.460117047154346,0.28824770071983236
8.799198627471924,2.2889282014264083,5.62197546143236
8.820212841033936,0.38880864398092707,9.074853677233474
8.83920168876648,-0.15658800262293146,10.7084189033591
8.85919976234436,1.7035626634262295,10.265214982932115
8.879287958145142,1.717710607939145,6.141524590652497
8.900287866592407,-0.03651009343784277,-0.6471517219775909
8.920287370681763,-0.9659771080472915,-7.22745452608798
8.940288066864014,-0.27952032378630803,-11.0918372297953
8.95928955078125,0.1855338753093016,-11.386176809236837
8.9792959690094,-1.5046935734544173,-8.738549746252502
8.999289751052856,-2.348234251531025,-3.314662938380382
9.020288944244385,-0.8694339227434666,3.3942076689573812
9.040289163589478,0.47499048178482406,8.520128222938768
9.060291767120361,-0.2611197210393084,10.101095696098152
9.080291509628296,-1.6164376263794848,8.426711510099539
9.101293563842773,-1.379869343034678,5.038822836414993
9.120292663574219,-0.008255482557492099,1.1144734458288441
9.141298055648804,0.4128297699279088,-2.7589543630020597
9.161298274993896,-0.31406971916888216,-5.722871909614896
9.181292533874512,-0.5848971709145848,-6.737254641453442
9.20229458808899,0.9913121844201037,-5.263225497039601
9.221293449401855,0.9922047977145005,-3.0811834136033984
9.242295265197754,0.17724628347865823,-0.7096420440638481
9.261294603347778,0.4054981151793248,1.7415012941795722
9.281294822692871,1.3971471266670619,3.694355591188443
9.302025318145752,2.0729356027709063,4.590739906265363
9.321106910705566,0.6883748836128419,3.61244277348173
9.341331005096436,-0.8199996635681862,1.4192128333040641
9.361330270767212,-0.4811858408722282,-0.8689291905818087
9.381879091262817,0.8156107661897873,-2.738453023415061
9.401885032653809,-0.5464975113094246,-4.68267915400579
9.421982049942017,-2.1078762730935257,-5.19622959271182
9.441988706588745,-0.97810984678557,-3.1149113334282634
9.462375402450562,0.0988882485864078,0.04371557891530777
9.482490539550781,0.3192662975146305,3.1229295535899846
9.501491069793701,-0.22158359980331724,5.17041257591389
9.522395372390747,-0.7353593509094464,5.835231091742387
9.543738603591919,0.6471460751518984,5.764511535082333
9.563835144042969,1.0556298926610677,4.050247791436092
9.584745168685913,-0.30706156406900487,0.6149642224232124
9.604744911193848,-0.9711654550007652,-3.171426762968687
9.625745058059692,0.11288079187702041,-6.070545631163909
9.647072315216064,1.2251042560870675,-7.645635593068718
9.667071342468262,0.3066136923110861,-7.824120442256593
9.687072038650513,-1.135788754737998,-5.809810753401871
9.707486152648926,-1.0084113301570563,-1.3673130394803026
